date,alpha_id,id,name,total_elec_gen_emp,total_ff_elec_gen_emp,total_non_ff_elec_gen_emp,per_value
2018,IA,19,Iowa,9340,2352,6988,75
2018,KS,20,Kansas,16704,9761,6943,42
2018,KY,21,Kentucky,5086,2680,2406,47
2018,LA,22,Louisiana,8397,3011,5386,64
2018,ME,23,Maine,2787,300,2486,89
2018,MD,24,Maryland,13254,4083,9172,69
2018,MA,25,Massachusetts,36811,6738,30074,82
2018,MI,26,Michigan,28377,7390,20987,74
2018,MN,27,Minnesota,12930,2311,10619,82
2018,MS,28,Mississippi,4704,2577,2127,45
2018,MO,29,Missouri,9827,3259,6568,67
2018,MT,30,Montana,1329,512,817,61
2018,NE,31,Nebraska,6350,1110,5241,83
2018,NV,32,Nevada,12949,1850,11099,86
2018,NH,33,New Hampshire,5787,1659,4129,71
2018,NJ,34,New Jersey,21845,3433,18412,84
2018,NM,35,New Mexico,5307,561,4746,89
2018,NY,36,New York,46298,7071,39227,85
2018,NC,37,North Carolina,19894,5365,14529,73
2018,ND,38,North Dakota,3470,1221,2249,65
2018,OH,39,Ohio,29023,17109,11914,41
2018,OK,40,Oklahoma,6823,3373,3449,51
2018,OR,41,Oregon,9758,631,9127,94
2018,PA,42,Pennsylvania,19333,4935,14398,74
2018,RI,44,Rhode Island,2398,231,2167,90
2018,SC,45,South Carolina,28351,6553,21798,77
2018,SD,46,South Dakota,2993,271,2722,91
2018,TN,47,Tennessee,11901,942,10960,92
2018,TX,48,Texas,55745,12709,43036,77
2018,UT,49,Utah,10840,3407,7433,69
2018,VT,50,Vermont,2803,35,2768,99
2018,VA,51,Virginia,14446,2765,11681,81
2018,WA,53,Washington,14818,753,14065,95
2018,WV,54,West Virginia,3855,2572,1283,33
2018,WI,55,Wisconsin,10636,3513,7123,67
2018,WY,56,Wyoming,1626,1272,354,22
2019,AL,1,Alabama,10334,3730,6603,64
2019,AK,2,Alaska,1450,636,814,56
2019,AZ,4,Arizona,24080,9326,14754,61
2019,AR,5,Arkansas,3884,1007,2877,74
2019,CA,6,California,182559,22890,159669,87
2019,CO,8,Colorado,25397,4020,21378,84
2019,CT,9,Connecticut,6275,1274,5001,80
